Performing image warping using TORCH_ALL
Working on image 0
Not saving images, only evaluating output
Time taken was 1.314126
Reference position is (4, 4)
Position (0, 0): PSNR 27.931423, SSIM 0.909188
Position (0, 1): PSNR 28.422550, SSIM 0.910920
Position (0, 2): PSNR 28.777649, SSIM 0.911273
Position (0, 3): PSNR 28.886614, SSIM 0.910000
Position (0, 4): PSNR 28.651103, SSIM 0.907267
Position (0, 5): PSNR 28.395294, SSIM 0.903226
Position (0, 6): PSNR 27.972104, SSIM 0.897412
Position (0, 7): PSNR 27.434529, SSIM 0.889123
Position (1, 0): PSNR 28.772476, SSIM 0.918877
Position (1, 1): PSNR 29.572377, SSIM 0.921808
Position (1, 2): PSNR 30.208482, SSIM 0.923024
Position (1, 3): PSNR 30.495391, SSIM 0.923382
Position (1, 4): PSNR 30.274769, SSIM 0.920920
Position (1, 5): PSNR 30.000902, SSIM 0.917903
Position (1, 6): PSNR 29.438213, SSIM 0.911315
Position (1, 7): PSNR 28.703189, SSIM 0.902800
Position (2, 0): PSNR 29.661479, SSIM 0.929274
Position (2, 1): PSNR 30.932888, SSIM 0.934759
Position (2, 2): PSNR 32.177967, SSIM 0.938877
Position (2, 3): PSNR 32.972609, SSIM 0.941328
Position (2, 4): PSNR 32.802410, SSIM 0.940128
Position (2, 5): PSNR 32.505451, SSIM 0.937516
Position (2, 6): PSNR 31.584601, SSIM 0.929714
Position (2, 7): PSNR 30.512439, SSIM 0.920236
Position (3, 0): PSNR 30.611474, SSIM 0.939862
Position (3, 1): PSNR 32.458059, SSIM 0.948872
Position (3, 2): PSNR 34.740429, SSIM 0.957194
Position (3, 3): PSNR 36.908736, SSIM 0.964590
Position (3, 4): PSNR 37.444043, SSIM 0.966746
Position (3, 5): PSNR 36.720419, SSIM 0.962749
Position (3, 6): PSNR 34.729633, SSIM 0.953135
Position (3, 7): PSNR 32.925744, SSIM 0.942292
Position (4, 0): PSNR 31.501423, SSIM 0.948484
Position (4, 1): PSNR 33.879021, SSIM 0.960158
Position (4, 2): PSNR 37.358328, SSIM 0.971863
Position (4, 3): PSNR 42.677985, SSIM 0.983065
Position (4, 4): PSNR 100.000000, SSIM 1.000000
Position (4, 5): PSNR 42.003959, SSIM 0.982629
Position (4, 6): PSNR 37.460036, SSIM 0.971182
Position (4, 7): PSNR 34.685644, SSIM 0.959087
Position (5, 0): PSNR 31.826861, SSIM 0.946511
Position (5, 1): PSNR 34.101125, SSIM 0.957729
Position (5, 2): PSNR 36.866269, SSIM 0.966906
Position (5, 3): PSNR 39.036725, SSIM 0.973643
Position (5, 4): PSNR 39.262329, SSIM 0.974670
Position (5, 5): PSNR 36.810474, SSIM 0.964854
Position (5, 6): PSNR 35.005677, SSIM 0.957129
Position (5, 7): PSNR 33.497565, SSIM 0.949222
Position (6, 0): PSNR 31.512117, SSIM 0.938331
Position (6, 1): PSNR 33.098951, SSIM 0.945871
Position (6, 2): PSNR 34.313520, SSIM 0.950405
Position (6, 3): PSNR 34.524876, SSIM 0.951968
Position (6, 4): PSNR 34.014000, SSIM 0.948979
Position (6, 5): PSNR 32.789458, SSIM 0.939990
Position (6, 6): PSNR 31.893839, SSIM 0.933761
Position (6, 7): PSNR 31.124237, SSIM 0.927557
Position (7, 0): PSNR 30.535596, SSIM 0.925570
Position (7, 1): PSNR 31.526447, SSIM 0.929819
Position (7, 2): PSNR 31.927519, SSIM 0.931844
Position (7, 3): PSNR 31.690466, SSIM 0.931104
Position (7, 4): PSNR 31.204126, SSIM 0.927031
Position (7, 5): PSNR 30.421784, SSIM 0.919781
Position (7, 6): PSNR 29.858916, SSIM 0.914297
Position (7, 7): PSNR 29.372326, SSIM 0.908746

psnr average 33.584485, stddev 9.021834
ssim average 0.938717, stddev 0.023528
Working on image 1
Not saving images, only evaluating output
Time taken was 1.271865
Reference position is (4, 4)
Position (0, 0): PSNR 31.521491, SSIM 0.801607
Position (0, 1): PSNR 32.018597, SSIM 0.817122
Position (0, 2): PSNR 32.549397, SSIM 0.834255
Position (0, 3): PSNR 33.198044, SSIM 0.853415
Position (0, 4): PSNR 33.797256, SSIM 0.867865
Position (0, 5): PSNR 33.819859, SSIM 0.868901
Position (0, 6): PSNR 33.935832, SSIM 0.870932
Position (0, 7): PSNR 33.772584, SSIM 0.866834
Position (1, 0): PSNR 31.916381, SSIM 0.814762
Position (1, 1): PSNR 32.528365, SSIM 0.833782
Position (1, 2): PSNR 33.178246, SSIM 0.852871
Position (1, 3): PSNR 34.075697, SSIM 0.876498
Position (1, 4): PSNR 34.942500, SSIM 0.894648
Position (1, 5): PSNR 34.796370, SSIM 0.891345
Position (1, 6): PSNR 34.786607, SSIM 0.890165
Position (1, 7): PSNR 34.421822, SSIM 0.881786
Position (2, 0): PSNR 32.325080, SSIM 0.826768
Position (2, 1): PSNR 33.043768, SSIM 0.847403
Position (2, 2): PSNR 33.893436, SSIM 0.871320
Position (2, 3): PSNR 35.033695, SSIM 0.897596
Position (2, 4): PSNR 36.336727, SSIM 0.920308
Position (2, 5): PSNR 35.832973, SSIM 0.910595
Position (2, 6): PSNR 35.612228, SSIM 0.905635
Position (2, 7): PSNR 34.944218, SSIM 0.893086
Position (3, 0): PSNR 32.737046, SSIM 0.839421
Position (3, 1): PSNR 33.651551, SSIM 0.863776
Position (3, 2): PSNR 34.652852, SSIM 0.888738
Position (3, 3): PSNR 36.413812, SSIM 0.922218
Position (3, 4): PSNR 38.636544, SSIM 0.949762
Position (3, 5): PSNR 37.150769, SSIM 0.930427
Position (3, 6): PSNR 36.604311, SSIM 0.921824
Position (3, 7): PSNR 35.519781, SSIM 0.904365
Position (4, 0): PSNR 33.342232, SSIM 0.857497
Position (4, 1): PSNR 34.413609, SSIM 0.883460
Position (4, 2): PSNR 35.691849, SSIM 0.909922
Position (4, 3): PSNR 38.176052, SSIM 0.946177
Position (4, 4): PSNR 100.000000, SSIM 1.000000
Position (4, 5): PSNR 39.319101, SSIM 0.955135
Position (4, 6): PSNR 37.541883, SSIM 0.936926
Position (4, 7): PSNR 35.846056, SSIM 0.912977
Position (5, 0): PSNR 33.267203, SSIM 0.853059
Position (5, 1): PSNR 34.222655, SSIM 0.876936
Position (5, 2): PSNR 35.317048, SSIM 0.901007
Position (5, 3): PSNR 37.015333, SSIM 0.929720
Position (5, 4): PSNR 39.678621, SSIM 0.959253
Position (5, 5): PSNR 37.330137, SSIM 0.934461
Position (5, 6): PSNR 36.017959, SSIM 0.914712
Position (5, 7): PSNR 34.805721, SSIM 0.893572
Position (6, 0): PSNR 33.247122, SSIM 0.853441
Position (6, 1): PSNR 34.195639, SSIM 0.877054
Position (6, 2): PSNR 35.116884, SSIM 0.896564
Position (6, 3): PSNR 36.564026, SSIM 0.922361
Position (6, 4): PSNR 38.342500, SSIM 0.946150
Position (6, 5): PSNR 36.630115, SSIM 0.924584
Position (6, 6): PSNR 35.518087, SSIM 0.906412
Position (6, 7): PSNR 34.399634, SSIM 0.885283
Position (7, 0): PSNR 33.010490, SSIM 0.846791
Position (7, 1): PSNR 33.792763, SSIM 0.867061
Position (7, 2): PSNR 34.490062, SSIM 0.883636
Position (7, 3): PSNR 35.340587, SSIM 0.901589
Position (7, 4): PSNR 36.271680, SSIM 0.919923
Position (7, 5): PSNR 35.282121, SSIM 0.902991
Position (7, 6): PSNR 34.473310, SSIM 0.886430
Position (7, 7): PSNR 33.630619, SSIM 0.867957

psnr average 35.936546, stddev 8.268492
ssim average 0.890048, stddev 0.038350
Working on image 2
Not saving images, only evaluating output
Time taken was 1.274183
Reference position is (4, 4)
Position (0, 0): PSNR 28.966874, SSIM 0.817032
Position (0, 1): PSNR 29.426636, SSIM 0.823157
Position (0, 2): PSNR 29.778247, SSIM 0.826428
Position (0, 3): PSNR 29.959962, SSIM 0.828166
Position (0, 4): PSNR 30.155163, SSIM 0.829848
Position (0, 5): PSNR 30.025608, SSIM 0.827622
Position (0, 6): PSNR 29.782899, SSIM 0.821431
Position (0, 7): PSNR 29.594286, SSIM 0.819755
Position (1, 0): PSNR 29.770334, SSIM 0.835354
Position (1, 1): PSNR 30.482765, SSIM 0.847056
Position (1, 2): PSNR 31.020383, SSIM 0.851569
Position (1, 3): PSNR 31.356776, SSIM 0.855824
Position (1, 4): PSNR 31.583458, SSIM 0.856701
Position (1, 5): PSNR 31.322872, SSIM 0.854053
Position (1, 6): PSNR 30.928285, SSIM 0.846966
Position (1, 7): PSNR 30.553034, SSIM 0.840652
Position (2, 0): PSNR 30.746805, SSIM 0.859648
Position (2, 1): PSNR 31.831010, SSIM 0.874828
Position (2, 2): PSNR 32.797352, SSIM 0.883582
Position (2, 3): PSNR 33.442583, SSIM 0.891008
Position (2, 4): PSNR 33.803170, SSIM 0.893026
Position (2, 5): PSNR 33.246643, SSIM 0.885866
Position (2, 6): PSNR 32.498049, SSIM 0.878761
Position (2, 7): PSNR 31.765572, SSIM 0.867132
Position (3, 0): PSNR 31.917826, SSIM 0.888527
Position (3, 1): PSNR 33.366336, SSIM 0.901469
Position (3, 2): PSNR 35.135708, SSIM 0.919586
Position (3, 3): PSNR 36.481770, SSIM 0.924510
Position (3, 4): PSNR 37.598400, SSIM 0.937246
Position (3, 5): PSNR 36.080909, SSIM 0.918343
Position (3, 6): PSNR 34.747384, SSIM 0.914330
Position (3, 7): PSNR 33.276706, SSIM 0.895382
Position (4, 0): PSNR 32.815764, SSIM 0.911346
Position (4, 1): PSNR 34.470045, SSIM 0.922256
Position (4, 2): PSNR 37.095893, SSIM 0.947501
Position (4, 3): PSNR 39.670589, SSIM 0.949667
Position (4, 4): PSNR 100.000000, SSIM 1.000000
Position (4, 5): PSNR 39.156896, SSIM 0.947892
Position (4, 6): PSNR 36.904356, SSIM 0.940761
Position (4, 7): PSNR 34.568270, SSIM 0.920456
Position (5, 0): PSNR 32.635124, SSIM 0.906555
Position (5, 1): PSNR 33.869990, SSIM 0.912228
Position (5, 2): PSNR 35.781134, SSIM 0.930610
Position (5, 3): PSNR 37.604113, SSIM 0.935960
Position (5, 4): PSNR 38.761935, SSIM 0.945398
Position (5, 5): PSNR 37.854285, SSIM 0.938990
Position (5, 6): PSNR 36.196200, SSIM 0.927033
Position (5, 7): PSNR 34.373951, SSIM 0.914249
Position (6, 0): PSNR 31.700606, SSIM 0.879304
Position (6, 1): PSNR 32.598077, SSIM 0.889067
Position (6, 2): PSNR 33.679172, SSIM 0.896969
Position (6, 3): PSNR 34.765697, SSIM 0.909320
Position (6, 4): PSNR 35.065331, SSIM 0.906985
Position (6, 5): PSNR 34.949464, SSIM 0.907384
Position (6, 6): PSNR 34.271946, SSIM 0.899964
Position (6, 7): PSNR 33.259594, SSIM 0.892244
Position (7, 0): PSNR 30.631349, SSIM 0.849277
Position (7, 1): PSNR 31.229795, SSIM 0.859353
Position (7, 2): PSNR 31.839354, SSIM 0.861203
Position (7, 3): PSNR 32.454551, SSIM 0.871255
Position (7, 4): PSNR 32.693350, SSIM 0.871531
Position (7, 5): PSNR 32.733968, SSIM 0.873062
Position (7, 6): PSNR 32.525815, SSIM 0.870772
Position (7, 7): PSNR 31.945147, SSIM 0.862594

psnr average 34.242899, stddev 8.680008
ssim average 0.886969, stddev 0.039949
Working on image 3
Not saving images, only evaluating output
Time taken was 1.285738
Reference position is (4, 4)
Position (0, 0): PSNR 31.125066, SSIM 0.881547
Position (0, 1): PSNR 31.426715, SSIM 0.884665
Position (0, 2): PSNR 31.658852, SSIM 0.887161
Position (0, 3): PSNR 31.884665, SSIM 0.890198
Position (0, 4): PSNR 32.164787, SSIM 0.895899
Position (0, 5): PSNR 32.311155, SSIM 0.897158
Position (0, 6): PSNR 32.435377, SSIM 0.898586
Position (0, 7): PSNR 32.440579, SSIM 0.899496
Position (1, 0): PSNR 32.166989, SSIM 0.894481
Position (1, 1): PSNR 32.589110, SSIM 0.898963
Position (1, 2): PSNR 32.964904, SSIM 0.902683
Position (1, 3): PSNR 33.302094, SSIM 0.907074
Position (1, 4): PSNR 33.595147, SSIM 0.911053
Position (1, 5): PSNR 33.689520, SSIM 0.911578
Position (1, 6): PSNR 33.694252, SSIM 0.911549
Position (1, 7): PSNR 33.535104, SSIM 0.910986
Position (2, 0): PSNR 33.581328, SSIM 0.911933
Position (2, 1): PSNR 34.162011, SSIM 0.916538
Position (2, 2): PSNR 34.748570, SSIM 0.921442
Position (2, 3): PSNR 35.218296, SSIM 0.925497
Position (2, 4): PSNR 35.728396, SSIM 0.931901
Position (2, 5): PSNR 35.644492, SSIM 0.929144
Position (2, 6): PSNR 35.422243, SSIM 0.927934
Position (2, 7): PSNR 34.779998, SSIM 0.924799
Position (3, 0): PSNR 35.203594, SSIM 0.931786
Position (3, 1): PSNR 36.223560, SSIM 0.938381
Position (3, 2): PSNR 37.304399, SSIM 0.944797
Position (3, 3): PSNR 38.309301, SSIM 0.949947
Position (3, 4): PSNR 39.247592, SSIM 0.954536
Position (3, 5): PSNR 38.724351, SSIM 0.952411
Position (3, 6): PSNR 37.526495, SSIM 0.947700
Position (3, 7): PSNR 35.997665, SSIM 0.940815
Position (4, 0): PSNR 36.796827, SSIM 0.951178
Position (4, 1): PSNR 38.423067, SSIM 0.960202
Position (4, 2): PSNR 40.473448, SSIM 0.968542
Position (4, 3): PSNR 42.709460, SSIM 0.974142
Position (4, 4): PSNR 100.000000, SSIM 1.000000
Position (4, 5): PSNR 41.869355, SSIM 0.971764
Position (4, 6): PSNR 39.154655, SSIM 0.964795
Position (4, 7): PSNR 36.606023, SSIM 0.954598
Position (5, 0): PSNR 36.335283, SSIM 0.947626
Position (5, 1): PSNR 37.631040, SSIM 0.955132
Position (5, 2): PSNR 38.851769, SSIM 0.960829
Position (5, 3): PSNR 40.051577, SSIM 0.964654
Position (5, 4): PSNR 40.462819, SSIM 0.963243
Position (5, 5): PSNR 38.765165, SSIM 0.958800
Position (5, 6): PSNR 37.043677, SSIM 0.952845
Position (5, 7): PSNR 35.254886, SSIM 0.944170
Position (6, 0): PSNR 34.518896, SSIM 0.927787
Position (6, 1): PSNR 35.205539, SSIM 0.933832
Position (6, 2): PSNR 35.806719, SSIM 0.937643
Position (6, 3): PSNR 36.180501, SSIM 0.939143
Position (6, 4): PSNR 36.234363, SSIM 0.937894
Position (6, 5): PSNR 35.395695, SSIM 0.932843
Position (6, 6): PSNR 34.513026, SSIM 0.927383
Position (6, 7): PSNR 33.484974, SSIM 0.921899
Position (7, 0): PSNR 32.875822, SSIM 0.908262
Position (7, 1): PSNR 33.277614, SSIM 0.912655
Position (7, 2): PSNR 33.566149, SSIM 0.914434
Position (7, 3): PSNR 33.729516, SSIM 0.914376
Position (7, 4): PSNR 33.743346, SSIM 0.913676
Position (7, 5): PSNR 33.233257, SSIM 0.910346
Position (7, 6): PSNR 32.736917, SSIM 0.906982
Position (7, 7): PSNR 32.050644, SSIM 0.902733

psnr average 36.340447, stddev 8.460790
ssim average 0.929173, stddev 0.025676
Working on image 4
Not saving images, only evaluating output
Time taken was 1.359460
Reference position is (4, 4)
Position (0, 0): PSNR 32.451677, SSIM 0.891703
Position (0, 1): PSNR 32.813216, SSIM 0.894513
Position (0, 2): PSNR 33.114926, SSIM 0.897307
Position (0, 3): PSNR 33.361971, SSIM 0.899107
Position (0, 4): PSNR 33.600214, SSIM 0.903332
Position (0, 5): PSNR 32.991716, SSIM 0.892847
