Performing image warping using TORCH_ALL
Working on image 0
Not saving images, only evaluating output
Time taken was 1.286961
Reference position is (4, 4)
Position (0, 0): PSNR 27.906647, SSIM 0.908970
Position (0, 1): PSNR 28.393701, SSIM 0.910444
Position (0, 2): PSNR 28.771378, SSIM 0.910756
Position (0, 3): PSNR 28.871596, SSIM 0.909410
Position (0, 4): PSNR 28.749386, SSIM 0.907806
Position (0, 5): PSNR 28.439624, SSIM 0.903517
Position (0, 6): PSNR 28.023161, SSIM 0.898268
Position (0, 7): PSNR 27.478984, SSIM 0.889903
Position (1, 0): PSNR 28.728915, SSIM 0.918349
Position (1, 1): PSNR 29.542399, SSIM 0.921488
Position (1, 2): PSNR 30.197664, SSIM 0.922414
Position (1, 3): PSNR 30.495449, SSIM 0.923232
Position (1, 4): PSNR 30.438376, SSIM 0.922157
Position (1, 5): PSNR 30.045875, SSIM 0.918236
Position (1, 6): PSNR 29.495553, SSIM 0.912111
Position (1, 7): PSNR 28.768571, SSIM 0.903702
Position (2, 0): PSNR 29.609952, SSIM 0.928902
Position (2, 1): PSNR 30.893695, SSIM 0.934587
Position (2, 2): PSNR 32.175458, SSIM 0.938845
Position (2, 3): PSNR 32.979024, SSIM 0.941636
Position (2, 4): PSNR 33.058458, SSIM 0.941950
Position (2, 5): PSNR 32.563866, SSIM 0.938275
Position (2, 6): PSNR 31.668538, SSIM 0.930747
Position (2, 7): PSNR 30.604004, SSIM 0.921421
Position (3, 0): PSNR 30.552464, SSIM 0.939710
Position (3, 1): PSNR 32.382249, SSIM 0.949192
Position (3, 2): PSNR 34.687809, SSIM 0.957529
Position (3, 3): PSNR 36.963969, SSIM 0.965357
Position (3, 4): PSNR 38.143650, SSIM 0.969499
Position (3, 5): PSNR 36.979598, SSIM 0.964613
Position (3, 6): PSNR 34.919730, SSIM 0.954967
Position (3, 7): PSNR 33.088143, SSIM 0.944330
Position (4, 0): PSNR 31.376686, SSIM 0.948120
Position (4, 1): PSNR 33.682285, SSIM 0.959781
Position (4, 2): PSNR 37.062016, SSIM 0.971417
Position (4, 3): PSNR 42.092502, SSIM 0.982752
Position (4, 4): PSNR 100.000000, SSIM 1.000000
Position (4, 5): PSNR 42.532792, SSIM 0.983585
Position (4, 6): PSNR 37.690912, SSIM 0.972318
Position (4, 7): PSNR 34.821649, SSIM 0.959868
Position (5, 0): PSNR 31.675009, SSIM 0.944785
Position (5, 1): PSNR 33.811593, SSIM 0.955074
Position (5, 2): PSNR 36.446516, SSIM 0.964477
Position (5, 3): PSNR 38.510928, SSIM 0.971263
Position (5, 4): PSNR 38.400272, SSIM 0.971007
Position (5, 5): PSNR 36.730079, SSIM 0.964323
Position (5, 6): PSNR 34.963292, SSIM 0.956579
Position (5, 7): PSNR 33.464560, SSIM 0.948710
Position (6, 0): PSNR 31.321612, SSIM 0.935887
Position (6, 1): PSNR 32.821530, SSIM 0.943048
Position (6, 2): PSNR 33.988371, SSIM 0.947668
Position (6, 3): PSNR 34.276727, SSIM 0.949586
Position (6, 4): PSNR 33.602112, SSIM 0.945298
Position (6, 5): PSNR 32.703006, SSIM 0.938588
Position (6, 6): PSNR 31.819712, SSIM 0.932616
Position (6, 7): PSNR 31.050260, SSIM 0.926255
Position (7, 0): PSNR 30.396668, SSIM 0.923745
Position (7, 1): PSNR 31.337808, SSIM 0.927654
Position (7, 2): PSNR 31.731256, SSIM 0.929726
Position (7, 3): PSNR 31.565467, SSIM 0.929518
Position (7, 4): PSNR 30.970216, SSIM 0.924439
Position (7, 5): PSNR 30.360714, SSIM 0.918558
Position (7, 6): PSNR 29.815661, SSIM 0.913514
Position (7, 7): PSNR 29.326412, SSIM 0.907953

psnr average 33.530727, stddev 9.015196
ssim average 0.938288, stddev 0.023435
Working on image 1
Not saving images, only evaluating output
Time taken was 1.230365
Reference position is (4, 4)
Position (0, 0): PSNR 32.206730, SSIM 0.826192
Position (0, 1): PSNR 32.736903, SSIM 0.841093
Position (0, 2): PSNR 33.248529, SSIM 0.855801
Position (0, 3): PSNR 33.821958, SSIM 0.870075
Position (0, 4): PSNR 34.541492, SSIM 0.887168
Position (0, 5): PSNR 34.681739, SSIM 0.888861
Position (0, 6): PSNR 34.591060, SSIM 0.886396
Position (0, 7): PSNR 34.011753, SSIM 0.872810
Position (1, 0): PSNR 32.743207, SSIM 0.841184
Position (1, 1): PSNR 33.420751, SSIM 0.859232
Position (1, 2): PSNR 34.120061, SSIM 0.877240
